State,County,Dem.04,GOP.04,Dem.08,GOP.08,Dem.12,GOP.12,Dem.16,GOP.16
"AL","Autauga",1909,506,2219,663,2241,682,2083,745
"AL","Baldwin",490,2087,769,2236,691,2350,701,2498
"AL","Barbour",1932,2223,2135,2171,2141,2118,1874,2102
"AL","Bibb",852,2132,981,2261,907,2263,720,2389
"AL","Blount",1657,678,1534,850,1305,884,883,1005
"AL","Bullock",1403,488,1686,402,1690,303,1490,164
"AL","Butler",1480,1989,1746,2077,1770,2005,1554,1950
"AL","Calhoun",463,1324,583,1406,490,1331,324,1427
"AL","Chambers",2058,2554,2347,2586,2337,2541,2053,2588
"AL","Cherokee",1345,2228,986,2461,867,2529,481,2748
"AL","Chilton",1592,310,1579,405,1463,422,1254,542
"AL","Choctaw",1442,1674,1566,1735,1594,1729,1333,1719
"AL","Clarke",1867,2389,2175,2483,2234,2524,2045,2460
"AL","Clay",723,1894,659,1950,646,1925,239,2035
"AL","Cleburne",370,1829,175,2010,2750,2047,2247,2182
"AL","Coffee",1827,329,2001,477,1922,485,1704,596
"AL","Colbert",64,340,2780,459,2664,426,2330,650
"AL","Conecuh",1191,1443,1504,1494,1519,1486,1313,1474
"AL","Coosa",831,1293,971,1410,901,1332,656,1457
"AL","Covington",1483,130,1426,265,1369,258,1000,369
"AL","Crenshaw",589,1633,767,1762,823,1791,575,1834
"AL","Cullman",2551,1193,2163,1247,1911,1226,1559,1424
"AL","Dale",1828,378,2053,398,2015,362,1771,431
"AL","Dallas",118,2504,402,2375,424,2296,291,2193
"AL","DeKalb",2416,634,2127,703,2001,745,1539,968
"AL","Elmore",2309,954,2604,1108,2634,1156,2507,1231
"AL","Escambia",1607,2708,2031,2790,2056,2804,1834,38
"AL","Etowah",476,1202,358,1335,265,1286,46,1406
"AL","Fayette",1030,2148,800,2175,669,2240,358,2381
"AL","Franklin",1838,2569,1518,2584,1376,2537,908,2823
"AL","Geneva",863,2679,889,2797,817,2783,479,2895
