"State","County","dem.Count16","gop.Count16"
"AL","Autauga",5908,18110
"AL","Baldwin",18409,72780
"AL","Barbour",4848,5431
"AL","Bibb",1874,6733
"AL","Blount",2150,22808
"AL","Bullock",3530,1139
"AL","Butler",3716,4891
"AL","Calhoun",13197,32803
"AL","Chambers",5763,7803
"AL","Cherokee",1524,8809
"AL","Chilton",2909,15068
"AL","Choctaw",3109,4102
"AL","Clarke",5712,7109
"AL","Clay",1234,5230
"AL","Cleburne",684,5738
"AL","Coffee",4194,15825
"AL","Colbert",7296,16718
"AL","Conecuh",3069,3413
"AL","Coosa",1780,3376
"AL","Covington",2379,13222
"AL","Crenshaw",1663,4511
"AL","Cullman",3730,32734
"AL","Dale",4408,13798
"AL","Dallas",12826,5784
"AL","DeKalb",3682,21779
"AL","Elmore",8436,27619
"AL","Escambia",4698,10282
"AL","Etowah",10350,32132
"AL","Fayette",1358,6705
"AL","Franklin",2197,9466
"AL","Geneva",1522,9967
"AL","Greene",4006,838
"AL","Hale",4772,3172
"AL","Henry",2286,5623
"AL","Houston",10547,30567
"AL","Jackson",3663,16643
"AL","Jefferson",151581,130614
"AL","Lamar",1035,5819
"AL","Lauderdale",9877,27735
"AL","Lawrence",3611,10732
"AL","Lee",20987,34321
"AL","Limestone",9340,28824
"AL","Lowndes",4882,1751
"AL","Macon",7237,1394
"AL","Madison",62435,89199
"AL","Marengo",5607,5224
"AL","Marion",1432,11273
"AL","Marshall",4913,29217
"AL","Mobile",68429,91087
"AL","Monroe",4310,5771
"AL","Montgomery",58669,33928
"AL","Morgan",11216,37392
"AL","Perry",3823,1403
"AL","Pickens",3972,5454
"AL","Pike",5039,7681
"AL","Randolph",2290,7697
"AL","Russell",9577,9210
"AL","Shelby",22927,72846
"AL","St. Clair",5550,31579
"AL","Sumter",4739,1581
"AL","Talladega",12108,20596
"AL","Tallapoosa",5271,12967
"AL","Tuscaloosa",31746,47701
"AL","Walker",4486,24208
"AL","Washington",2366,6031
"AL","Wilcox",4329,1737
"AL","Winston",871,9225
"AR","Arkansas",1939,3825
"AR","Ashley",2408,5338
"AR","Baxter",4163,14655
"AR","Benton",27894,60751
"AR","Boone",2925,12225
"AR","Bradley",1317,2163
"AR","Calhoun",636,1554
"AR","Carroll",3334,6773
"AR","Chicot",2350,1716
"AR","Clark",3606,4398
"AR","Clay",1999,3779
"AR","Cleburne",2101,9454
"AR","Cleveland",723,2460
"AR","Columbia",3140,5456
"AR","Conway",2655,4844
"AR","Craighead",10474,22798
"AR","Crawford",4476,16655
"AR","Crittenden",8368,6953
"AR","Cross",1995,4577
"AR","Dallas",1165,1507
"AR","Desha",2227,1915
"AR","Drew",2364,3967
"AR","Faulkner",14525,29170
"AR","Franklin",1376,5034
"AR","Fulton",1067,3470
"AR","Garland",12283,26053
"AR","Grant",1407,5160
"AR","Greene",3056,10698
"AR","Hempstead",2371,4391
"AR","Hot Spring",3137,8153
"AR","Howard",1350,3155
"AR","Independence",2878,9925
"AR","Izard",1111,4042
"AR","Jackson",1583,3262
"AR","Jefferson",15721,9231
"AR","Johnson",2421,6072
