"State","EV","pop2010","dem12","rep12","dem16","rep16"
"AL",9,4779736,795696,1255925,729547,1318255
"AR",6,2915918,394409,647744,380494,684872
"AZ",11,6392017,1025232,1233654,116454,163387
"CA",55,37253956,7854285,4839958,8753788,4483810
"CO",9,5029196,1323101,1185243,1338870,1202484
"CT",7,3574097,905083,634892,897572,673215
"DC",3,601723,267070,21381,282830,12723
"DE",3,897934,242584,165484,235603,185127
"FL",29,18801310,4237756,4163447,4504975,4617886
"GA",16,9687653,1773827,2078688,1877963,2089104
"HI",3,1360301,306658,121015,266891,128847
"IA",6,3046355,822544,730617,653669,800983
"ID",4,1567582,212787,420911,189765,409055
"IL",20,12830632,3019512,2135216,3090729,2146015
"IN",11,6483802,1152887,1420543,1033126,1557286
"KS",6,2853118,440726,692634,427005,671018
"KY",8,4339367,679370,1087190,628854,1202971
"LA",8,4533372,809141,1152262,780154,1178638
"MA",11,6547629,1921290,1188314,1995196,1090893
"MD",10,5773552,1677844,971869,1677928,943169
"ME",4,1328361,401306,292276,715326,671154
"MI",16,9883640,2564569,2115256,2268839,2279543
"MN",10,5303925,1546167,1320225,1367716,1322951
"MO",10,5988927,1223796,1482440,1071068,1594511
"MS",6,2967297,562949,710746,485131,700714
"MT",3,989415,201839,267928,177709,279240
"NC",15,1486170,2178391,2270395,2189316,2362631
"ND",3,672591,124827,188163,93758,216794
"NE",5,1826341,302081,475064,284494,495961
"NH",4,1316470,369561,329918,348526,345790
"NJ",14,8791894,2125101,1477568,2148278,1601933
"NM",5,2059179,415335,335788,385234,319667
"NV",6,2700551,531373,463567,539260,512058
"NY",29,19378102,4485741,2490431,4556124,2819534
"OH",18,11536504,2827709,2661437,2394164,2841005
"OK",7,3751351,443547,891325,420375,949136
"OR",7,3831074,970488,754175,1002106,782403
"PA",20,12702379,2990274,2680434,2926441,2970733
"RI",4,1052567,279677,157204,252525,180543
"SC",9,4625364,865941,1071645,855373,1155389
"SD",3,814180,145039,210610,117458,227721
"TN",11,6346105,960709,1462330,870695,1522925
"TX",36,25145561,3308124,4569843,3877868,4685047
"UT",6,2763885,251813,740600,310676,515231
"VA",13,8001024,1971820,1822522,1981473,1769443
"VT",3,625741,199239,92698,178573,95369
"WA",8,6724540,1755396,1290670,1742718,1221747
"WI",10,5686986,1620985,1407966,1382536,1405284
"WV",5,1852994,238269,417655,188794,489371
"WY",3,563626,69286,170962,55973,174419
