"State","County","f0408","f0812","f1216"
"AL","Autauga",0,0,0
"AL","Baldwin",0,0,0
"AL","Barbour",0,1,-1
"AL","Bibb",0,0,0
"AL","Blount",0,0,0
"AL","Bullock",0,0,0
"AL","Butler",0,0,0
"AL","Calhoun",0,0,0
"AL","Chambers",0,0,0
"AL","Cherokee",0,0,0
"AL","Chilton",0,0,0
"AL","Choctaw",0,0,0
"AL","Clarke",0,0,0
"AL","Clay",0,0,0
"AL","Cleburne",0,0,0
"AL","Coffee",0,0,0
"AL","Colbert",0,0,0
"AL","Conecuh",0,1,-1
"AL","Coosa",0,0,0
"AL","Covington",0,0,0
"AL","Crenshaw",0,0,0
"AL","Cullman",0,0,0
"AL","Dale",0,0,0
"AL","Dallas",0,0,0
"AL","DeKalb",0,0,0
"AL","Elmore",0,0,0
"AL","Escambia",0,0,0
"AL","Etowah",0,0,0
"AL","Fayette",0,0,0
"AL","Franklin",0,0,0
"AL","Geneva",0,0,0
"AL","Greene",0,0,0
"AL","Hale",0,0,0
"AL","Henry",0,0,0
"AL","Houston",0,0,0
"AL","Jackson",0,0,0
"AL","Jefferson",1,0,0
"AL","Lamar",0,0,0
"AL","Lauderdale",0,0,0
"AL","Lawrence",0,0,0
"AL","Lee",0,0,0
"AL","Limestone",0,0,0
"AL","Lowndes",0,0,0
"AL","Macon",0,0,0
"AL","Madison",0,0,0
"AL","Marengo",1,0,0
"AL","Marion",0,0,0
"AL","Marshall",0,0,0
"AL","Mobile",0,0,0
"AL","Monroe",0,0,0
"AL","Montgomery",0,0,0
"AL","Morgan",0,0,0
"AL","Perry",0,0,0
"AL","Pickens",0,0,0
"AL","Pike",0,0,0
"AL","Randolph",0,0,0
"AL","Russell",0,0,0
"AL","Shelby",0,0,0
"AL","St. Clair",0,0,0
"AL","Sumter",0,0,0
"AL","Talladega",0,0,0
"AL","Tallapoosa",0,0,0
"AL","Tuscaloosa",0,0,0
"AL","Walker",0,0,0
"AL","Washington",0,0,0
"AL","Wilcox",0,0,0
"AL","Winston",0,0,0
"AR","Arkansas",0,0,0
"AR","Ashley",0,0,0
"AR","Baxter",0,0,0
"AR","Benton",0,0,0
"AR","Boone",0,0,0
"AR","Bradley",-1,0,0
"AR","Calhoun",0,0,0
"AR","Carroll",0,0,0
"AR","Chicot",0,0,0
"AR","Clark",-1,0,0
"AR","Clay",-1,0,0
"AR","Cleburne",0,0,0
"AR","Cleveland",0,0,0
"AR","Columbia",0,0,0
"AR","Conway",0,0,0
"AR","Craighead",0,0,0
"AR","Crawford",0,0,0
"AR","Crittenden",0,0,0
"AR","Cross",0,0,0
"AR","Dallas",0,0,0
"AR","Desha",0,0,0
"AR","Drew",0,0,0
"AR","Faulkner",0,0,0
"AR","Franklin",0,0,0
"AR","Fulton",0,0,0
"AR","Garland",0,0,0
"AR","Grant",0,0,0
"AR","Greene",0,0,0
"AR","Hempstead",-1,0,0
"AR","Hot Spring",0,0,0
"AR","Howard",0,0,0
"AR","Independence",0,0,0
"AR","Izard",0,0,0
"AR","Jackson",-1,0,0
"AR","Jefferson",0,0,0
"AR","Johnson",0,0,0
"AR","Lafayette",0,0,0
"AR","Lawrence",-1,0,0
"AR","Lee",0,0,0
"AR","Lincoln",-1,0,0
"AR","Little River",-1,0,0
"AR","Logan",0,0,0
"AR","Lonoke",0,0,0
"AR","Madison",0,0,0
"AR","Marion",0,0,0
"AR","Miller",0,0,0
"AR","Mississippi",-1,0,0
"AR","Monroe",-1,0,0
"AR","Montgomery",0,0,0
"AR","Nevada",0,0,0
"AR","Newton",0,0,0
"AR","Ouachita",0,0,0
"AR","Perry",0,0,0
"AR","Phillips",0,0,0
"AR","Pike",0,0,0
"AR","Poinsett",-1,0,0
"AR","Polk",0,0,0
"AR","Pope",0,0,0
"AR","Prairie",0,0,0
"AR","Pulaski",0,0,0
"AR","Randolph",-1,0,0
"AR","Saint Francis",0,0,0
"AR","Saline",0,0,0
"AR","Scott",0,0,0
"AR","Searcy",0,0,0
"AR","Sebastian",0,0,0
"AR","Sevier",0,0,0
"AR","Sharp",0,0,0
"AR","Stone",0,0,0
"AR","Union",0,0,0
"AR","Van Buren",0,0,0
"AR","Washington",0,0,0
"AR","White",0,0,0
"AR","Woodruff",0,0,-1
"AR","Yell",0,0,0
"AZ","Apache",0,0,0
"AZ","Cochise",0,0,0
"AZ","Coconino",0,0,0
"AZ","Gila",0,0,0
"AZ","Graham",0,0,0
"AZ","Greenlee",0,0,0
"AZ","La Paz",0,0,0
"AZ","Maricopa",0,0,0
"AZ","Mohave",0,0,0
"AZ","Navajo",0,0,0
"AZ","Pima",0,0,0
"AZ","Pinal",0,0,0
"AZ","Santa Cruz",0,0,0
"AZ","Yavapai",0,0,0
"AZ","Yuma",0,0,0
"CA","Alameda",0,0,0
"CA","Alpine",0,0,0
"CA","Amador",0,0,0
"CA","Butte",1,-1,0
"CA","Calaveras",0,0,0
"CA","Colusa",0,0,0
"CA","Contra Costa",0,0,0
"CA","Del Norte",0,0,0
"CA","El Dorado",0,0,0
"CA","Fresno",1,-1,1
"CA","Glenn",0,0,0
"CA","Humboldt",0,0,0
"CA","Imperial",0,0,0
"CA","Inyo",0,0,0
"CA","Kern",0,0,0
"CA","Kings",0,0,0
"CA","Lake",0,0,0
"CA","Lassen",0,0,0
"CA","Los Angeles",0,0,0
"CA","Madera",0,0,0
"CA","Marin",0,0,0
"CA","Mariposa",0,0,0
"CA","Mendocino",0,0,0
"CA","Merced",1,0,0
"CA","Modoc",0,0,0
"CA","Mono",0,0,0
"CA","Monterey",0,0,0
"CA","Napa",0,0,0
"CA","Nevada",1,-1,1
"CA","Orange",0,0,1
"CA","Placer",0,0,0
"CA","Plumas",0,0,0
"CA","Riverside",1,-1,1
"CA","Sacramento",0,0,0
"CA","San Benito",0,0,0
"CA","San Bernardino",1,0,0
"CA","San Diego",1,0,0
"CA","San Francisco",0,0,0
"CA","San Joaquin",1,0,0
"CA","San Luis Obispo",1,0,0
"CA","San Mateo",0,0,0
"CA","Santa Barbara",0,0,0
"CA","Santa Clara",0,0,0
"CA","Santa Cruz",0,0,0
"CA","Shasta",0,0,0
"CA","Sierra",0,0,0
"CA","Siskiyou",0,0,0
"CA","Solano",0,0,0
"CA","Sonoma",0,0,0
"CA","Stanislaus",1,0,0
"CA","Sutter",0,0,0
"CA","Tehama",0,0,0
"CA","Trinity",1,-1,0
"CA","Tulare",0,0,0
"CA","Tuolumne",0,0,0
"CA","Ventura",1,0,0
"CA","Yolo",0,0,0
"CA","Yuba",0,0,0
"CO","Adams",0,0,0
"CO","Alamosa",1,0,0
"CO","Arapahoe",1,0,0
"CO","Archuleta",0,0,0
"CO","Baca",0,0,0
"CO","Bent",0,0,0
"CO","Boulder",0,0,0
"CO","Broomfield",1,0,0
"CO","Chaffee",0,1,-1
