"EG","Seats"
-10.5624800008657,48
-8.98014830694986,45
-11.6431667304606,46
-14.7256739149296,47
-13.2383220470498,47
-8.47023305203758,43
-6.9503120398074,43
-14.694740638616,48
-9.31747932225449,43
-4.16605133928918,39
-8.95807983101695,45
-11.4455653597184,49
-10.6111697668341,46
-8.94574215237826,44
-11.9238483915054,47
-8.75798397172672,43
-11.7942359767892,48
-7.70100433395557,44
-13.4983704370983,49
-11.6852304497102,50
-10.2482685036564,45
-6.49379450748394,41
-13.7206215706057,49
-7.40086813383821,42
-12.117378067859,46
-11.0572530668244,46
-7.02822424571788,42
-12.3633115454959,48
-7.74554991667194,44
-8.90049914883672,43
-13.7712177804075,49
-8.84970605470523,47
-11.0938486102248,46
-12.1340081828636,49
-9.32107021600342,44
-9.69613364220183,44
-12.3505300145779,47
-13.5600134915297,47
-9.41330039080479,44
-9.54495356519499,46
-14.2940349885416,49
-9.36516867516583,46
-11.3793660532091,47
-13.1373462657134,48
-12.5401920566127,47
-15.0857530338958,51
-9.85170426651262,45
-13.7947932343949,49
-12.6623943960125,50
-12.4936365539516,47
-12.6367324669596,48
-12.6443258753245,47
-12.322515017886,46
-11.6690917946924,46
-12.4752347090727,47
-8.83905228631106,44
-11.452963805871,48
-8.17761731507555,43
-13.5048678292184,49
-12.8757718072806,49
-13.4839905496802,50
-9.43543000991603,45
-12.6977766806704,48
-9.04136743827471,43
-8.43610333787244,44
-13.2395253365113,50
-10.2012651060708,46
-10.7723945881797,45
-9.48158376106403,45
-9.61129701114016,44
-13.1339937660762,48
-13.767934986184,48
-11.8805713904982,45
-10.4452487801922,46
-12.2722922633557,47
-10.8496050313586,44
-10.940648548621,46
-6.9877737105602,41
-11.7942371275723,47
-6.84136842146199,42
-11.0420267789952,48
-12.0864658174897,47
-9.90328707876687,46
-11.4115274809279,48
-12.9363429401792,49
-15.1855771306037,51
-12.1219885849632,48
-9.18097502787848,42
-10.2709677169186,45
-12.3025142682774,47
-13.0973592676849,50
-16.0230413078664,51
-8.46522262805511,45
-14.4350985676056,49
-10.363288741076,46
-17.1520603449681,53
-10.7298996777636,46
-17.11680204295,51
-11.313796121864,46
-11.0227843606746,47
-10.6338848173723,45
-9.67394463759982,45
-5.36967277415747,44
-4.27854476378999,40
-7.74793954824117,45
-16.5759572988383,52
-11.4422310007819,47
-13.9328360666216,49
-11.0372490148245,45
-8.50360021677389,45
-12.6433614272153,49
-10.8743912491573,46
-11.3032308466315,45
-12.7549948727806,48
-13.9867779946393,49
-14.2700944857864,47
-7.64135692718677,41
-15.6002882948229,50
-13.5778000324252,50
-12.1996641268205,47
-12.2678498962741,48
-13.5975081764897,49
-9.29959571283836,44
-13.0626218704564,48
-9.55721502712486,46
-12.6818195843683,47
-9.02466182619614,46
-10.9648160806291,49
-11.9604307814449,47
-7.7571168274051,43
-17.5690740234717,54
-10.7616957405265,46
-13.5961374594148,47
-11.9832450947683,47
-16.4190679136332,51
-9.23826074251158,46
-11.6390026519985,46
-13.9163033542286,47
-12.1260571486735,46
-9.59473145433098,43
-9.95592736272109,45
-11.5847787282541,44
-13.1126034200235,50
-4.57814967956063,39
-9.74551779688623,45
-10.6453682359353,47
-8.30007454799017,44
-12.0710025609138,48
-16.0289173431832,50
-11.1461235090682,43
