"State","County","dem.Count12","gop.Count12"
"AL","Autauga",6354,17366
"AL","Baldwin",18329,65772
"AL","Barbour",5873,5539
"AL","Bibb",2200,6131
"AL","Blount",2961,20741
"AL","Bullock",4058,1250
"AL","Butler",4367,5081
"AL","Calhoun",15500,30272
"AL","Chambers",6853,7596
"AL","Cherokee",2126,7494
"AL","Chilton",3391,13910
"AL","Choctaw",3785,4150
"AL","Clarke",6317,7463
"AL","Clay",1770,4802
"AL","Cleburne",971,5269
"AL","Coffee",4899,14638
"AL","Colbert",9160,13931
"AL","Conecuh",3551,3434
"AL","Coosa",2188,3028
"AL","Covington",3155,12148
"AL","Crenshaw",2048,4326
"AL","Cullman",4855,27930
"AL","Dale",5283,13105
"AL","Dallas",14599,6284
"AL","DeKalb",5235,18316
"AL","Elmore",8940,26223
"AL","Escambia",5476,9263
"AL","Etowah",12792,29102
"AL","Fayette",1803,6034
"AL","Franklin",3171,7567
"AL","Geneva",2039,9173
"AL","Greene",4514,799
"AL","Hale",5401,3205
"AL","Henry",3046,5605
"AL","Houston",12348,29214
"AL","Jackson",5817,14422
"AL","Jefferson",159658,141413
"AL","Lamar",1643,5453
"AL","Lauderdale",12504,23902
"AL","Lawrence",5055,8855
"AL","Lee",21274,32062
"AL","Limestone",9809,25263
"AL","Lowndes",5747,1754
"AL","Macon",9045,1322
"AL","Madison",61802,90679
"AL","Marengo",6154,5321
"AL","Marion",2249,9696
"AL","Marshall",6271,25785
"AL","Mobile",78417,94566
"AL","Monroe",4897,5730
"AL","Montgomery",62993,38283
"AL","Morgan",13401,35309
"AL","Perry",4536,1504
"AL","Pickens",4448,5119
"AL","Pike",6009,7939
"AL","Randolph",3076,7219
"AL","Russell",10495,8276
"AL","St. Clair",5790,29001
"AL","Shelby",19944,71243
"AL","Sumter",5420,1585
"AL","Talladega",13878,19217
"AL","Tallapoosa",6252,12303
"AL","Tuscaloosa",32003,45703
"AL","Walker",6551,21633
"AL","Washington",2971,5749
"AL","Wilcox",4867,1676
"AL","Winston",1286,8310
"AR","Arkansas",2454,3892
"AR","Ashley",2855,4866
"AR","Baxter",5172,13688
"AR","Benton",22144,53477
"AR","Boone",3762,11143
"AR","Bradley",1447,2118
"AR","Calhoun",660,1458
"AR","Carroll",3691,6121
"AR","Chicot",2649,1670
"AR","Clark",3808,4343
"AR","Clay",1738,3225
"AR","Cleburne",2618,8691
"AR","Cleveland",845,2313
"AR","Columbia",3557,5790
"AR","Conway",3003,4511
"AR","Craighead",10351,20044
"AR","Crawford",4872,15125
"AR","Crittenden",9092,6192
"AR","Cross",2279,4268
"AR","Dallas",1337,1664
"AR","Desha",2353,1807
"AR","Drew",2627,3883
"AR","Faulkner",13559,26653
"AR","Franklin",1725,4631
"AR","Fulton",1452,2949
"AR","Garland",13317,25031
"AR","Grant",1467,4829
"AR","Greene",3998,9066
"AR","Hempstead",2466,4284
"AR","Hot Spring",3824,7087
"AR","Howard",1460,2862
"AR","Independence",3279,8724
"AR","Izard",1563,3571
"AR","Jackson",2093,3065
"AR","Jefferson",17456,9515
"AR","Johnson",2785,5045
"AR","Lafayette",1173,1712
"AR","Lawrence",1786,3535
"AR","Lee",2107,1280
"AR","Lincoln",1424,2199
"AR","Little River",1552,3385
"AR","Logan",2009,5078
"AR","Lonoke",5612,17863
"AR","Madison",2099,4262
"AR","Marion",2024,4771
"AR","Miller",4518,10622
"AR","Mississippi",6445,6599
"AR","Monroe",1583,1585
"AR","Montgomery",920,2368
"AR","Nevada",1314,1996
"AR","Newton",993,2508
"AR","Ouachita",4626,5516
"AR","Perry",1187,2580
"AR","Phillips",5179,2591
"AR","Pike",850,2847
"AR","Poinsett",2387,4967
"AR","Polk",1556,5950
"AR","Pope",5108,14733
"AR","Prairie",877,2149
"AR","Pulaski",87055,68856
"AR","Randolph",2040,3699
"AR","Saint Francis",4652,3287
"AR","Saline",12868,32962
"AR","Scott",895,2630
"AR","Searcy",814,2699
"AR","Sebastian",13083,29158
"AR","Sevier",1042,3135
"AR","Sharp",2092,4920
"AR","Stone",1356,3773
"AR","Union",6182,10696
"AR","Van Buren",1826,4362
"AR","Washington",28136,39570
"AR","White",5765,20005
"AR","Woodruff",1340,1227
"AR","Yell",1720,4041
"AZ","Apache",16833,8198
"AZ","Cochise",16223,26742
"AZ","Coconino",26316,19368
"AZ","Gila",6650,11525
"AZ","Graham",3608,8076
"AZ","Greenlee",1310,1590
"AZ","La Paz",1619,3205
"AZ","Maricopa",512008,654835
"AZ","Mohave",18324,46442
"AZ","Navajo",16157,19155
"AZ","Pima",183470,162927
"AZ","Pinal",41428,58947
"AZ","Santa Cruz",9486,4235
"AZ","Yavapai",32624,62385
"AZ","Yuma",14025,19500
"CA","Alameda",438091,104330
"CA","Alpine",389,236
"CA","Amador",6001,8903
"CA","Butte",32567,35312
"CA","Calaveras",7404,10537
"CA","Colusa",2248,3521
"CA","Contra Costa",230826,112547
"CA","Del Norte",3396,4256
"CA","El Dorado",34033,49661
"CA","Fresno",85862,91143
"CA","Glenn",3276,5608
"CA","Humboldt",27757,15653
"CA","Imperial",17464,9545
"CA","Inyo",2775,3541
"CA","Kern",64690,99840
"CA","Kings",12282,17184
"CA","Lake",9159,6474
"CA","Lassen",3044,7261
"CA","Los Angeles",1672164,699600
"CA","Madera",12698,18990
"CA","Marin",73450,23347
"CA","Mariposa",3080,4434
"CA","Mendocino",11869,5129
"CA","Merced",26128,23403
"CA","Modoc",1113,2779
"CA","Mono",2574,2202
"CA","Monterey",51712,25087
"CA","Napa",19964,11647
"CA","Nevada",14261,15696
"CA","Orange",457077,541592
"CA","Placer",49126,74460
"CA","Plumas",3670,5240
"CA","Riverside",287754,290227
"CA","Sacramento",221063,157688
"CA","San Benito",8617,6052
"CA","San Bernardino",274203,245468
"CA","San Diego",478386,431046
"CA","San Francisco",267857,42654
"CA","San Joaquin",80005,66742
"CA","San Luis Obispo",57655,56500
"CA","San Mateo",151036,56244
"CA","Santa Barbara",84279,59096
"CA","Santa Clara",343239,136347
"CA","Santa Cruz",61106,17132
"CA","Shasta",18184,34561
"CA","Sierra",652,1056
"CA","Siskiyou",7110,9844
"CA","Solano",87225,48364
"CA","Sonoma",124504,45666
"CA","Stanislaus",70609,69549
"CA","Sutter",8004,12576
"CA","Tehama",6032,10791
"CA","Trinity",2367,2422
