"states","sdata"
"AL",0.0298507462686567
"AR",0.0577777777777778
"AZ",0
"CA",0.120689655172414
"CO",0.0625
"CT",0.125
"DC",0
"DE",0.222222222222222
"FL",0.0497512437810945
"GA",0.0440251572327044
"HI",0
"IA",0.228956228956229
"ID",0.0227272727272727
"IL",0.215686274509804
"IN",0.0797101449275362
"KS",0.00634920634920635
"KY",0.05
"LA",0.0208333333333333
"MA",0
"MD",0.0694444444444444
"ME",0.1875
"MI",0.27710843373494
"MN",0.195402298850575
"MO",0.0289855072463768
"MS",0.0569105691056911
"MT",0.0952380952380952
"NC",0.0866666666666667
"ND",0.125786163522013
"NE",0.032258064516129
"NH",0.333333333333333
"NJ",0.0634920634920635
"NM",0.101010101010101
"NV",0.0588235294117647
"NY",0.204301075268817
"OH",0.0795454545454545
"OK",0
"OR",0.0925925925925926
"PA",0.109452736318408
"RI",0.0666666666666667
"SC",0.0942028985507246
"SD",0.0909090909090909
"TN",0.0526315789473684
"TX",0.0196850393700787
"UT",0.0919540229885057
"VA",0.0746268656716418
"VT",0.0476190476190476
"WA",0.153846153846154
"WI",0.361111111111111
"WV",0.0909090909090909
"WY",0.0289855072463768
